1508,9,20191022,20200907,3950,19.0
1585,9,20190520,20200620,4900,17.0
1076,9,20200630,20210206,4300,19.0
834,9,20200428,20201228,2150,22.0
1397,9,20190612,20210208,4200,19.0
1187,9,20191009,20191226,4650,67.0
465,9,20190509,20200918,2900,22.0
1180,9,20190412,20190610,3000,69.0
1013,9,20181207,20191010,4750,17.0
649,9,20190823,20210730,3300,19.0
1427,9,20190212,20191019,2000,22.0
1125,9,20191124,20210127,2650,22.0
176,9,20180929,20190213,4350,44.0
877,9,20191007,20210519,2050,22.0
1113,9,20180927,20200324,4950,17.0
1336,9,20190119,20190619,3050,44.0
621,127,20181206,20191112,930,35.0
671,127,20200302,20210527,840,35.0
677,127,20200720,20201015,700,85.0
516,127,20200205,20200410,700,85.0
247,127,20180923,20201230,970,35.0
1951,127,20190310,20210609,980,35.0
750,127,20180924,20200622,930,35.0
1041,127,20190618,20210409,710,35.0
634,127,20200101,20200914,480,35.0
1613,127,20190905,20210721,380,35.0
434,127,20190222,20210203,850,35.0
1616,127,20200628,20210313,490,35.0
641,127,20200527,20210320,750,35.0
1176,127,20181011,20210821,580,35.0
804,127,20181102,20210802,300,35.0
106,127,20181023,20190812,470,35.0
188,127,20200531,20200629,780,85.0
1240,4,20191230,20200225,690,74.0
1394,4,20190519,20200801,380,24.0
1268,4,20200208,20200823,530,36.5
1646,4,20190207,20210103,740,24.0
867,4,20200112,20200114,1000,74.0
1186,4,20181106,20190204,720,74.0
163,4,20190529,20200108,840,24.0
759,4,20200404,20201211,1000,24.0
591,4,20190914,20191111,600,74.0
1318,4,20190623,20210408,850,24.0
1368,4,20200502,20210613,730,24.0
1986,4,20181014,20191113,470,24.0
1279,4,20190309,20190608,1000,74.0
965,4,20200305,20210128,940,24.0
352,4,20180922,20200806,620,24.0
249,4,20191230,20210116,540,24.0
1940,4,20190118,20191026,680,24.0
469,4,20181120,20190604,590,24.0
452,4,20181109,20190207,420,74.0
882,61,20200813,20201202,855,64.5
1379,61,20200208,20200819,840,39.5
200,61,20191123,20210823,1050,27.0
1705,61,20191016,20200913,885,27.0
258,61,20191205,20200604,1470,39.5
1144,61,20200609,20210323,660,27.0
606,61,20191031,20210106,1140,27.0
1158,61,20200421,20210530,465,27.0
1491,61,20200411,20210302,1410,27.0
298,61,20181111,20190518,1485,39.5
1228,61,20190517,20210620,1350,27.0
425,61,20200419,20210206,855,27.0
1406,61,20200423,20200811,1470,64.5
792,61,20200807,20210715,1155,27.0
341,61,20190223,20190820,1470,39.5
691,159,20181107,20190719,5000,19.0
1639,159,20191029,20210727,4050,22.0
1627,159,20190416,20201126,3100,24.0
1058,159,20200820,20200901,2850,74.0
1590,159,20200210,20210823,1600,27.0
718,159,20190427,20191123,4750,19.0
1400,159,20200409,20201207,3800,22.0
1729,159,20190103,20190330,3450,72.0
1746,159,20191004,20210605,1750,27.0
1393,159,20200205,20201021,4350,22.0
1461,159,20181201,20190624,4400,31.5
1685,159,20200719,20200813,1650,77.0
1500,159,20181125,20190409,4750,44.0
1659,159,20190811,20200806,3100,24.0
124,159,20190110,20210817,3250,24.0
772,159,20190204,20191017,1800,27.0
1939,159,20200417,20200719,3100,74.0
1903,159,20200713,20201115,3250,61.5
1332,166,20190103,20201207,2950,16.0
1257,166,20191011,20210617,2700,16.0
280,166,20180826,20190329,3950,14.0
837,166,20190521,20200410,3000,16.0
1248,166,20190108,20190327,3500,64.0
782,166,20200415,20210501,3350,14.0
179,166,20191124,20200215,3950,64.0
1438,166,20190602,20191022,4050,51.5
828,166,20190417,20190514,2350,66.0
493,166,20200629,20210815,3500,14.0
993,166,20200712,20200806,4550,61.0
797,166,20200119,20210305,3100,16.0
